性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,本科,其他,旅游,是,1000,59.12,6,176.52,1059.119,9,5000,5218.82,0,23,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,6,9200,10783.86,0,57,0,0,0,1
男,本科,重点高校,担保交易,否,174.51,1,6,1,1,0,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,否,3000,141.54,6,523.59,3141.54,18,3000,3141.52,0,6,0,0,0,1
男,本科,其他,生活开销,否,1500,60.55,5,312.11,1560.55,4,4500,4908.31,0,17,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,18,0,0,0,0,0,0,0,1
女,本科,其他,学习进修,否,500,29.56,6,88.26,529.5599,4,5500,6015.83,0,22,0,0,0,1
女,本科,其他,购物,是,1000,65.12,6,177.52,1065.119,24,7000,7607.49,2432.33,18,3,0.2578716,0.14285715,0
男,本科,其他,生活开销,是,1000,63.35,5,212.67,1063.349,8,15900,16590.31,0,194,0,0,0,1
男,本科,其他,旅游,否,1000,42,4,260.5,1042,12,1500,1570.77,0,6,0,0,0,1
女,本科,其他,学习进修,否,100,4.7,6,17.45,104.7,24,2900,4493.36,0,123,0,0,0,1
女,本科,其他,学习进修,否,100,4.7,6,17.45,104.7,17,3600,5330.62,0,141,0,0,0,1
女,本科,其他,生活开销,否,600,25.2,4,156.3,625.2,26,4000,5800.53,0,153,0,0,0,1
男,本科,其他,生活开销,是,400,30.86,6,71.81,430.86,7,5000,5756.56,0,21,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,15,9000,10836.09,0,40,0,0,0,1
男,本科,其他,付房租,否,500,13.39,3,171.13,513.39,22,1500,1540.17,0,6,0,0,0,1
女,硕士研究生,其他,社交娱乐,否,400,6.67,1,406.67,406.67,12,9441.17,9753.69,0,57,0,0,0,1
女,硕士研究生,其他,社交娱乐,否,830,49.06,6,146.51,879.06,40,14321.17,14771.79,0,72,0,0,0,1
女,本科,其他,学习进修,是,500,38.6199,6,89.77,538.62,4,1850,2405.24,0,18,0,0,0,1
女,本科,其他,其他,否,800,26.84,4,206.71,826.84,24,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,300,9.77999,2,154.8899,309.7799,4,3000,3126.36,0,13,0,0,0,1
男,本科,其他,生活开销,否,400,13.44,4,103.36,413.44,11,3995.05,4162.36,0,31,0,0,0,1
男,本科,其他,担保交易,否,373.96,1,6,1,1,0,1034.6,1083.45,0,18,0,0,0,1
女,null,其他,担保交易,否,132.65,1.33,1,133.9799,133.9799,0,157.24,159.6,0,2,0,0,0,1
男,专科,其他,生活开销,否,100,7.7,6,17.95,107.7,24,3400,3756.2,0,204,0,0,0,1
女,本科,其他,其他,是,1000,77.18,6,179.53,1077.18,0,11000,14139.57,0,90,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,51,13400,14265.07,0,58,0,0,0,1
男,本科,其他,购物,是,500,38.6199,6,89.77,538.62,7,5311.28,5743.77,0,38,0,0,0,1
男,本科,其他,生活开销,是,600,32.84,4,158.21,632.84,19,7000,7455.41,0,43,0,0,0,1
男,专科,重点高校,学习进修,否,500,38.6199,6,89.77,538.62,2,4000,4431.57,0,18,0,0,0,1
男,本科,其他,其他,是,240,6.02,2,123.01,246.02,0,2493.17,2630.04,0,13,0,0,0,1
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,4,11700,12456.67,0,90,0,0,0,1
男,本科,重点高校,生活开销,是,300,13.08,3,104.36,313.08,11,579,601.9,0,8,0,0,0,1
女,专科,其他,担保交易,否,412.3,1,6,1,1,0,450.42,450.42,0,6,0,0,0,1
女,专科,其他,担保交易,否,115.56,5.46,6,20.17,121.02,0,2164.64,2188.95,0,36,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,5,0,0,0,0,0,0,0,1
男,专科,其他,其他,否,300,14.16,6,52.36,314.16,37,1820.65,1937.28,0,30,0,0,0,1
女,本科,其他,学习进修,否,220,10.4,6,38.4,230.4,4,3600,3789.13,0,66,0,0,0,1
男,专科,其他,生活开销,否,300,12.1,5,62.42,312.1,44,0,0,0,0,0,0,0,1
女,专科,其他,其他,否,200,9.46,6,34.90999,209.46,24,2800,2908.98,0,14,0,0,0,1
男,专科,重点高校,担保交易,否,71.87,3.37,6,12.54,75.23999,0,2928.13,3038.57,0,14,0,0,0,1
男,专科,重点高校,学习进修,否,1000,33.53,3,344.51,1033.53,12,12400,13132.12,0,41,0,0,0,1
男,本科,其他,购物,是,800,61.78,6,143.63,861.78,5,2394.79,2394.78,0,6,0,0,0,1
女,本科,其他,购物,否,700,54.02,6,125.67,754.02,9,8291.86,8691.03,0,40,0,0,0,1
男,本科,其他,付房租,否,1500,88.68,6,264.7799,1588.68,22,536.88,551.04,0,11,0,0,0,1
女,本科,其他,其他,否,500,23.62,6,87.27,523.62,37,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,2,23397.11,24374.09,0,92,0,0,0,1
男,专科,其他,学习进修,否,500,16.76,4,129.19,516.76,29,1500,1530.09,0,6,0,0,0,1
男,本科,其他,担保交易,否,229.17,10.83,6,40,240,0,133.33,293.82,0,6,0,0,0,1
女,本科,其他,生活开销,是,200,13.6,6,35.6,213.6,4,9800,13021.55,0,88,0,0,0,1
女,本科,其他,其他,是,134.14,9.14,6,23.88,143.28,0,14926.79,19764.4,0,166,0,0,0,1
男,本科,其他,生活开销,否,1000,54.76,4,263.69,1054.76,6,4008.38,4242.22,810.18,11,2,0.16813737,0.15384616,0
男,硕士研究生,重点高校,购物,否,500,23.62,6,87.27,523.62,48,600,797.15,0,6,0,0,0,1
男,本科,其他,付房租,否,1000,77.18,6,179.53,1077.18,20,3408.1,3576.37,0,15,0,0,0,1
男,专科,其他,担保交易,否,2294.79,80.97,6,395.96,2375.76,0,0,0,0,0,0,0,0,1
男,专科,其他,付房租,否,1000,65.95,5,213.19,1065.95,76,14000,14791.66,0,55,0,0,0,1
男,专科,其他,创业,否,1000,25.06,2,512.53,1025.06,2,4000,4164.85,0,14,0,0,0,1
男,本科,重点高校,购物,否,150,3.25,1,153.25,153.25,42,4150,4318.04,0,22,0,0,0,1
男,本科,其他,旅游,否,900,49.28,4,237.32,949.28,4,5801.89,7034.16,0,25,0,0,0,1
男,本科,其他,其他,否,100,4.7,6,17.45,104.7,24,700,1192.84,0,42,0,0,0,1
男,专科,其他,担保交易,否,1779.96,84,6,310.66,1863.96,0,0,0,0,0,0,0,0,1
男,专科,其他,其他,否,300,6.02,2,153.01,306.02,24,3700,3851.43,0,17,0,0,0,1
男,专科,其他,付房租,否,300,8.03999,3,102.68,308.04,24,0,0,0,0,0,0,0,1
女,本科,其他,购物,否,500,10.83,1,510.83,510.83,7,9000,9445.64,0,58,0,0,0,1
男,专科,其他,购物,是,1000,59.12,6,176.52,1059.119,8,2000,2102.96,0,17,0,0,0,1
男,本科,其他,购物,是,1000,25.06,2,512.53,1025.06,3,456.84,492.12,0,6,0,0,0,1
男,本科,其他,旅游,否,1000,59.12,6,176.52,1059.119,9,12000,12438.87,0,42,0,0,0,1
男,本科,重点高校,其他,否,600,16.0799,3,205.36,616.08,24,2336.73,2412.95,0,67,0,0,0,1
